Temp,Humidity,Lower Light State,Middle Light State,Exhaust Fan State,Breeze Fan State,Heater State,Datetime
76.46,35.1,1,1,0,0,0,13:00:00 12/22/20 MST
76.82,34.3,1,1,0,0,0,13:10:00 12/22/20 MST
77.18,34.8,1,1,0,0,0,13:20:00 12/22/20 MST
77.18,35.0,1,1,0,0,0,13:30:00 12/22/20 MST
77.0,34.3,1,1,0,0,0,13:40:00 12/22/20 MST
ERR,ERR,1,1,0,0,0,13:50:00 12/22/20 MST
73.22,35.1,0,0,0,0,0,14:00:00 12/22/20 MST
66.2,24.5,0,0,0,1,1,14:10:00 12/22/20 MST
72.86,30.6,0,0,0,0,0,14:20:00 12/22/20 MST
73.76,24.4,0,0,0,0,0,14:30:00 12/22/20 MST
68.54,44.0,0,0,0,1,1,14:40:00 12/22/20 MST
70.16,36.4,0,0,0,0,0,14:50:00 12/22/20 MST
75.38,25.0,0,0,0,0,0,15:00:00 12/22/20 MST
69.44,41.3,0,0,0,1,1,15:10:00 12/22/20 MST
70.52,37.7,0,0,0,0,0,15:20:00 12/22/20 MST
ERR,ERR,0,0,0,1,1,15:30:00 12/22/20 MST
73.76,32.2,0,0,0,0,0,15:40:00 12/22/20 MST
68.0,40.2,0,0,0,1,1,15:50:00 12/22/20 MST
72.86,23.4,0,0,0,0,0,16:00:00 12/22/20 MST
68.0,37.7,0,0,0,1,1,16:10:00 12/22/20 MST
72.32,32.9,0,0,0,0,0,16:20:00 12/22/20 MST
72.14,25.5,0,0,0,0,0,16:30:00 12/22/20 MST
74.84,25.0,0,0,0,0,0,16:40:00 12/22/20 MST
69.26,38.9,0,0,0,1,1,16:50:00 12/22/20 MST
71.42,37.5,0,0,0,0,0,17:00:00 12/22/20 MST
71.42,26.4,0,0,0,0,0,17:10:00 12/22/20 MST
75.38,24.7,0,0,0,0,0,17:20:00 12/22/20 MST
69.26,37.9,0,0,0,1,1,17:30:00 12/22/20 MST
